Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
124,119,204,154,157,282,157,280,349,280,569,638,569,280,349,280,564,633,633,360.9444444
125,79,79,79,197,157,157,260,260,260,544,544,544,260,260,260,578,578,564,314.4444444
126,79,79,79,157,230,230,260,260,260,578,578,578,260,260,260,539,539,578,322.4444444
127,79,79,79,230,157,206,280,280,288,559,559,568,280,280,288,539,539,539,323.8333333
128,129,1511,128,157,229,207,290,315,290,549,575,549,290,315,290,549,575,548,416.4444444
129,149,208,129,207,286,157,313,355,285,572,553,544,313,294,285,592,573,549,353.5555556
130,79,211,79,228,290,211,290,361,299,569,641,578,290,361,299,579,651,564,365.5555556
131,79,119,132,157,197,157,280,280,280,569,569,569,280,280,280,592,592,588,333.3333333
132,79,79,79,157,286,286,260,260,260,572,572,572,260,260,260,578,578,592,332.7777778
133,79,79,79,226,211,211,260,260,260,578,578,578,260,260,260,539,539,578,324.1666667
134,79,79,79,211,197,237,280,280,280,559,559,559,280,280,280,539,539,539,325.3333333
135,131,131,119,197,210,157,296,296,290,555,555,549,296,296,290,555,539,549,333.9444444
136,149,149,79,210,228,157,313,313,285,572,572,544,313,313,285,592,592,564,346.1111111
137,79,132,79,228,211,157,290,299,290,569,578,569,290,299,290,579,588,579,339.2222222
138,79,79,79,157,207,207,280,280,280,569,569,569,280,280,280,592,592,592,331.7222222
139,79,79,79,207,228,228,260,260,260,572,572,572,260,260,260,578,578,578,328.3333333
140,79,79,79,228,230,230,260,260,260,578,578,578,260,260,260,539,539,539,324.2222222
141,79,128,147,230,206,225,280,288,307,559,568,586,280,288,260,539,548,566,338
142,129,131,79,157,210,157,290,296,290,549,555,549,290,296,307,549,555,566,330.8333333
143,124,149,79,207,228,157,285,313,285,553,614,544,294,355,290,573,634,549,346.2777778
144,79,152,129,202,230,207,290,318,290,569,598,569,290,318,285,579,608,564,348.7222222
145,79,79,79,157,207,207,280,280,280,569,569,569,280,280,290,592,592,579,331.5555556
146,79,79,79,207,228,228,260,260,260,572,572,569,260,260,280,592,578,592,330.8333333
147,79,79,79,228,230,230,260,260,260,578,578,572,260,260,260,578,539,578,328.2222222
148,79,79,79,230,157,157,280,280,280,559,559,559,280,280,260,539,539,539,318.6111111
149,79,129,79,157,207,157,290,290,290,549,549,549,290,290,280,539,549,549,323.4444444
150,124,130,79,157,209,157,285,294,285,544,572,544,285,313,290,564,592,564,332.6666667
151,79,129,79,202,207,157,290,290,290,569,569,569,290,290,285,579,579,579,335.1111111
152,79,79,79,157,207,207,280,280,280,569,569,569,280,280,290,592,592,592,332.2777778
153,79,79,79,207,228,228,260,260,260,572,572,572,260,260,280,578,578,578,329.4444444
154,79,79,79,228,230,230,260,260,260,578,578,578,260,260,260,519,519,519,320.8888889
155,79,79,79,230,157,157,280,280,280,539,539,539,280,280,260,539,539,539,315.2777778
156,79,79,79,157,157,157,290,290,290,549,549,544,290,290,260,549,549,549,317.0555556
157,79,79,79,157,157,157,285,285,285,544,544,549,285,285,285,544,544,544,315.9444444
158,79,132,79,157,211,157,290,299,290,549,558,519,290,299,290,549,558,549,325.2777778
159,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
160,79,79,79,157,209,209,260,260,260,519,519,519,260,260,260,519,578,578,311.3333333
161,79,79,79,209,230,230,260,260,260,578,578,578,260,260,260,519,519,519,319.8333333
162,79,79,79,230,157,157,260,260,260,519,519,519,260,260,260,519,519,519,303.0555556
163,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
164,99,99,99,157,177,177,260,260,260,519,519,519,260,260,260,519,519,519,304.5555556
165,79,211,99,157,290,177,260,361,260,519,621,519,260,361,260,519,621,519,338.5
166,79,128,79,157,206,157,260,288,260,519,548,519,260,288,260,519,548,519,310.7777778
167,79,79,79,157,157,157,260,260,260,519,519,519,260,260,260,519,519,519,299
168,79,79,79,177,177,177,260,260,260,519,519,519,260,260,260,519,519,519,302.3333333
169,79,99,99,157,210,177,260,260,260,519,548,519,260,288,260,519,548,519,310.0555556
170,79,131,99,157,228,1777,260,260,260,519,519,519,260,260,260,519,519,519,396.9444444
171,130,149,130,209,310,209,294,313,294,553,572,553,294,313,294,573,592,573,353.0555556
172,79,211,152,177,206,250,260,361,318,539,641,598,260,361,318,509,611,568,356.6111111
173,79,128,79,157,157,157,260,288,260,509,538,509,260,288,260,509,538,509,304.7222222
174,79,79,79,157,157,157,260,260,260,509,509,509,260,260,260,509,509,509,295.6666667
175,79,79,79,157,157,157,260,260,260,509,509,509,260,260,260,509,509,509,295.6666667
176,99,129,119,222,253,242,280,291,280,529,540,529,280,291,280,529,540,529,331.2222222
177,99,152,152,177,220,220,270,338,338,499,517,517,250,338,338,499,517,517,331
178,147,191,124,220,282,202,270,349,250,517,598,499,307,349,250,527,608,509,344.3888889
179,79,149,99,157,228,177,250,313,250,509,614,509,250,355,280,509,614,509,325.0555556
180,79,192,124,157,290,202,381,260,250,641,641,509,381,381,290,641,641,509,364.9444444
