DaystoDepart,RoundTrip,SeatClass,Time,Price
19,0,2,2,0.248898678
19,1,2,0,0.575991189
19,1,2,1,0.575991189
19,1,2,2,0.575991189
20,0,0,0,0.002202643
20,0,0,1,0.026431718
20,0,0,2,0.002202643
20,1,0,0,0.1530837
20,1,0,1,0.24339207
20,1,0,2,0.1530837
20,0,1,0,0.215859031
20,0,1,1,0.248898678
20,0,1,2,0.215859031
20,1,1,0,0.556167401
20,1,1,1,0.669603524
20,1,1,2,0.556167401
20,0,2,0,0.215859031
20,0,2,1,0.248898678
20,0,2,2,0.215859031
20,1,2,0,0.556167401
20,1,2,1,0.669603524
20,1,2,2,0.556167401
21,0,0,0,0.002202643
21,0,0,1,0.055066079
21,0,0,2,0.033039648
21,1,0,0,0.066079295
21,1,0,1,0.157488987
21,1,0,2,0.135462555
21,0,1,0,0.215859031
21,0,1,1,0.248898678
21,0,1,2,0.248898678
21,1,1,0,0.471365639
21,1,1,1,0.564977974
21,1,1,2,0.564977974
21,0,2,0,0.215859031
21,0,2,1,0.248898678
21,0,2,2,0.248898678
21,1,2,0,0.471365639
21,1,2,1,0.564977974
21,1,2,2,0.564977974
22,0,0,0,0.074889868
22,0,0,1,0.033039648
22,0,0,2,0.011013216
22,1,0,0,0.179515419
22,1,0,1,0.189427313
22,1,0,2,0.113436123
22,0,1,0,0.248898678
22,0,1,1,0.248898678
22,0,1,2,0.248898678
22,1,1,0,0.556167401
22,1,1,1,0.556167401
22,1,1,2,0.556167401
22,0,2,0,0.248898678
22,0,2,1,0.248898678
22,0,2,2,0.248898678
22,1,2,0,0.556167401
22,1,2,1,0.556167401
22,1,2,2,0.556167401
23,0,0,0,0.09030837
23,0,0,1,0.078193833
23,0,0,2,0.078193833
23,1,0,0,0.189427313
23,1,0,1,0.278634361
23,1,0,2,0.176211454
23,0,1,0,0.248898678
23,0,1,1,0.374449339
23,0,1,2,0.329295154
23,1,1,0,0.556167401
23,1,1,1,0.676211454
23,1,1,2,0.639867841
23,0,2,0,0.248898678
23,0,2,1,0.374449339
23,0,2,2,0.329295154
23,1,2,0,0.556167401
23,1,2,1,0.676211454
23,1,2,2,0.639867841
24,0,0,0,0.09030837
24,0,0,1,0.171806167
24,0,0,2,0.09030837
24,1,0,0,0.257709251
24,1,0,1,0.363436123
24,1,0,2,0.264317181
24,0,1,0,0.248898678
24,0,1,1,0.348017621
24,0,1,2,0.248898678
24,1,1,0,0.636563877
24,1,1,1,0.735682819
24,1,1,2,0.636563877
24,0,2,0,0.248898678
24,0,2,1,0.348017621
24,0,2,2,0.248898678
24,1,2,0,0.636563877
24,1,2,1,0.735682819
24,1,2,2,0.636563877
25,0,0,0,0.002202643
25,0,0,1,0.002202643
25,0,0,2,0.002202643
25,1,0,0,0.176211454
25,1,0,1,0.176211454
25,1,0,2,0.176211454
25,0,1,0,0.215859031
25,0,1,1,0.248898678
25,0,1,2,0.215859031
25,1,1,0,0.603524229
25,1,1,1,0.636563877
25,1,1,2,0.603524229
25,0,2,0,0.215859031
25,0,2,1,0.248898678
25,0,2,2,0.215859031
25,1,2,0,0.603524229
25,1,2,1,0.636563877
25,1,2,2,0.603524229
26,0,0,0,0.002202643
26,0,0,1,0.002202643
26,0,0,2,0.002202643
26,1,0,0,0.026431718
26,1,0,1,0.101321586
26,1,0,2,0.026431718
26,0,1,0,0.215859031
26,0,1,1,0.215859031
26,0,1,2,0.215859031
26,1,1,0,0.442731278
26,1,1,1,0.523127753
26,1,1,2,0.442731278
26,0,2,0,0.215859031
26,0,2,1,0.215859031
26,0,2,2,0.215859031
26,1,2,0,0.442731278
26,1,2,1,0.523127753
26,1,2,2,0.442731278
27,0,0,0,0.002202643
27,0,0,1,0.025330396
27,0,0,2,0.002202643
27,1,0,0,0.066079295
27,1,0,1,0.135462555
27,1,0,2,0.066079295
27,0,1,0,0.215859031
27,0,1,1,0.248898678
27,0,1,2,0.248898678
27,1,1,0,0.471365639
27,1,1,1,0.564977974
27,1,1,2,0.564977974
27,0,2,0,0.215859031
27,0,2,1,0.248898678
27,0,2,2,0.248898678
27,1,2,0,0.471365639
27,1,2,1,0.564977974
27,1,2,2,0.564977974
28,0,0,0,0.033039648
28,0,0,1,0.063876652
28,0,0,2,0.025330396
28,1,0,0,0.135462555
28,1,0,1,0.166299559
28,1,0,2,0.127753304
28,0,1,0,0.248898678
28,0,1,1,0.248898678
28,0,1,2,0.320484581
28,1,1,0,0.564977974
28,1,1,1,0.564977974
28,1,1,2,0.678414097
28,0,2,0,0.248898678
28,0,2,1,0.248898678
28,0,2,2,0.320484581
28,1,2,0,0.564977974
28,1,2,1,0.564977974
28,1,2,2,0.614537445
29,0,0,0,0.09030837
29,0,0,1,0.092511013
29,0,0,2,0.047356828
29,1,0,0,0.177312775
29,1,0,1,0.162995595
29,1,0,2,0.150881057
29,0,1,0,0.339207048
29,0,1,1,0.321585903
29,0,1,2,0.248898678
29,1,1,0,0.643171806
29,1,1,1,0.572687225
29,1,1,2,0.556167401
29,0,2,0,0.348017621
29,0,2,1,0.321585903
29,0,2,2,0.248898678
29,1,2,0,0.643171806
29,1,2,1,0.572687225
29,1,2,2,0.556167401
30,0,0,0,0.09030837
30,0,0,1,0.110132159
30,0,0,2,0.137665198
30,1,0,0,0.189427313
30,1,0,1,0.232378855
30,1,0,2,0.177312775
30,0,1,0,0.248898678
30,0,1,1,0.363436123
30,0,1,2,0.356828194
30,1,1,0,0.556167401
30,1,1,1,0.677312775
30,1,1,2,0.601321586
30,0,2,0,0.248898678
30,0,2,1,0.363436123
30,0,2,2,0.356828194
30,1,2,0,0.556167401
30,1,2,1,0.677312775
30,1,2,2,0.601321586
31,0,0,0,0.134361233
31,0,0,1,0.137665198
31,0,0,2,0.055066079
31,1,0,0,0.309471366
31,1,0,1,0.353524229
31,1,0,2,0.223568282
31,0,1,0,0.348017621
31,0,1,1,0.407488987
31,0,1,2,0.295154185
31,1,1,0,0.735682819
31,1,1,1,0.796255507
31,1,1,2,0.676211454
31,0,2,0,0.348017621
31,0,2,1,0.407488987
31,0,2,2,0.295154185
31,1,2,0,0.735682819
31,1,2,1,0.796255507
31,1,2,2,0.677312775
32,0,0,0,0.055066079
32,0,0,1,0.033039648
32,0,0,2,0.011013216
